EntryDate,entry_price,exit_price,Contribution,Shares,ValueAtExit,Profit,ExitDate
2017-07-14,245.55999755859372,245.52999877929688,1.0,0.00407232452330265,0.9998778352354004,-0.00012216476459958603,2017-07-17
2017-07-20,247.1000061035156,246.8800048828125,1.0,0.004046944456897658,0.9991096672793648,-0.0008903327206352118,2017-07-21
2017-08-29,244.8500061035156,246.00999450683597,1.0,0.0040841330409329395,1.0047375469650996,0.004737546965099648,2017-08-30
2017-08-31,247.4900054931641,247.83999633789065,1.0,0.004040567205965903,1.0014141615295906,0.0014141615295906185,2017-09-01
2017-09-13,250.1699981689453,250.08999633789065,1.0,0.003997281877600198,0.9996802101305503,-0.0003197898694496937,2017-09-14
2017-09-20,250.05999755859372,249.38999938964844,1.0,0.003999040269388475,0.9973206503419713,-0.00267934965802874,2017-09-21
2017-09-28,250.3500061035156,251.22999572753903,1.0,0.003994407731655962,1.0035150373579762,0.003515037357976203,2017-09-29
2017-10-02,252.32000732421875,252.8600006103516,1.0,0.00396322119123534,1.0021401128347265,0.002140112834726482,2017-10-03
2017-10-04,253.16000366210935,254.66000366210935,1.0,0.003950071044139706,1.0059251065662096,0.0059251065662095925,2017-10-05
2017-10-17,255.47000122070312,255.72000122070312,1.0,0.003914353917179066,1.0009785884792948,0.000978588479294773,2017-10-18
2017-10-19,255.7899932861328,257.1099853515625,1.0,0.003909457079039742,1.0051604523244704,0.005160452324470377,2017-10-20
2017-11-02,257.5899963378906,258.45001220703125,1.0,0.003882138336957239,1.0033387005759824,0.0033387005759824007,2017-11-03
2017-11-06,258.8500061035156,258.6700134277344,1.0,0.003863241168323922,0.9993046448849251,-0.0006953551150749027,2017-11-07
2017-12-08,265.510009765625,266.3099975585937,1.0,0.003766336345973303,1.003013023100993,0.003013023100993051,2017-12-11
2017-12-12,266.7799987792969,266.75,1.0,0.003748406944207557,0.9998875523673658,-0.00011244763263418278,2017-12-13
2018-01-04,271.6099853515625,273.4200134277344,1.0,0.0036817497659581066,1.0066640704458234,0.0066640704458234,2018-01-05
2018-01-08,273.9200134277344,274.5400085449219,1.0,0.0036507007556197428,1.0022634166427968,0.002263416642796834,2018-01-09
2018-01-23,283.2900085449219,283.17999267578125,1.0,0.00352995153318804,0.999611649314052,-0.00038835068594800237,2018-01-24
2018-02-13,266.0,269.5899963378906,1.0,0.0037593984962406013,1.0134962268341752,0.013496226834175173,2018-02-14
2018-02-15,273.0299987792969,273.1099853515625,1.0,0.003662601195732882,1.0002929589152227,0.00029295891522274076,2018-02-16
2018-02-26,277.8999938964844,274.42999267578125,1.0,0.0035984167756854734,0.9875134893957729,-0.012486510604227119,2018-02-27
2018-03-06,272.8800048828125,272.7799987792969,1.0,0.0036646144169831976,0.9996335161912704,-0.00036648380872961184,2018-03-07
2018-04-05,265.6400146484375,259.7200012207031,1.0,0.003764493091612928,0.9777141503490382,-0.02228584965096181,2018-04-06
2018-04-18,270.3900146484375,268.8900146484375,1.0,0.00369836142544023,0.9944524578618397,-0.005547542138160333,2018-04-19
2018-04-27,266.5599975585937,264.510009765625,1.0,0.003751500634599855,0.992309469493756,-0.00769053050624402,2018-04-30
2018-05-11,272.8500061035156,272.9800109863281,1.0,0.0036650173268481198,1.0004764701480826,0.00047647014808260835,2018-05-14
2018-06-05,275.1000061035156,277.3999938964844,1.0,0.003635041722331756,1.0083605515882952,0.008360551588295184,2018-06-06
2018-06-12,278.9200134277344,278.0299987792969,1.0,0.003585257248881823,0.9968090685300784,-0.003190931469921554,2018-06-13
2018-07-02,271.8599853515625,270.8999938964844,1.0,0.0036783640619520563,0.9964688019318595,-0.0035311980681405064,2018-07-03
2018-07-09,277.8999938964844,278.8999938964844,1.0,0.0035984167756854734,1.0035984167756855,0.003598416775685509,2018-07-10
2018-07-25,284.010009765625,283.3399963378906,1.0,0.0035210026605232508,0.997640880938361,-0.0023591190616389923,2018-07-26
2018-08-06,284.6400146484375,285.5799865722656,1.0,0.003513209487552594,1.003302318280826,0.0033023182808260554,2018-08-07
2018-08-20,285.6700134277344,286.3399963378906,1.0,0.0035005424195597937,1.0023453035973822,0.0023453035973821645,2018-08-21
2018-08-28,289.9200134277344,291.4800109863281,1.0,0.0034492272133164084,1.0053807860318087,0.005380786031808693,2018-08-29
2018-09-12,289.1199951171875,290.8299865722656,1.0,0.00345877150279653,1.0059144697148499,0.005914469714849879,2018-09-13
2018-09-14,290.8800048828125,289.3399963378906,1.0,0.0034378437266696016,0.9947056912848228,-0.005294308715177221,2018-09-17
2018-09-20,293.5799865722656,291.989990234375,1.0,0.003406226737985925,0.9945841119605773,-0.005415888039422723,2018-09-21
2018-10-01,291.7300109863281,291.5599975585937,1.0,0.0034278269713117204,0.9994172233869268,-0.0005827766130731549,2018-10-02
2018-11-01,273.510009765625,271.8900146484375,1.0,0.0036561733183254085,0.9940770170767217,-0.005922982923278308,2018-11-02
2018-11-07,281.010009765625,280.5,1.0,0.0035585920972496495,0.9981850832785267,-0.0018149167214732698,2018-11-08
2018-11-28,274.5799865722656,273.9800109863281,1.0,0.0036419260284901132,0.9978149332971156,-0.0021850667028844306,2018-11-29
2018-12-12,265.4599914550781,265.3699951171875,1.0,0.003767046003876719,0.9996609796549856,-0.0003390203450144291,2018-12-13
2019-01-08,256.7699890136719,257.9700012207031,1.0,0.003894536132673801,1.0046734908999329,0.004673490899932853,2019-01-09
2019-01-10,258.8800048828125,258.9800109863281,1.0,0.0038627934994542013,1.0003863029265658,0.0003863029265658291,2019-01-11
2019-01-17,262.9599914550781,266.4599914550781,1.0,0.0038028598741068624,1.0133100095593741,0.013310009559374114,2019-01-18
2019-01-25,265.7799987792969,263.760009765625,1.0,0.0037625103641843183,0.9923997704005211,-0.007600229599478925,2019-01-28
2019-02-01,270.0599975585937,271.9599914550781,1.0,0.0037028808747694465,1.007035451061471,0.007035451061470965,2019-02-04
2019-02-05,273.1000061035156,272.739990234375,1.0,0.0036616623128926653,0.9986817434599246,-0.0013182565400754465,2019-02-06
2019-02-12,274.1000061035156,274.989990234375,1.0,0.003648303457615917,1.0032469321818376,0.0032469321818375807,2019-02-13
2019-02-20,278.4100036621094,277.4200134277344,1.0,0.003591824959040064,0.996444128366966,-0.003555871633033947,2019-02-21
2019-03-13,281.3399963378906,281.1600036621094,1.0,0.003554418188016877,0.9993602307594933,-0.0006397692405066824,2019-03-14
2019-03-19,282.3999938964844,281.54998779296875,1.0,0.0035410765637854677,0.9969900633077662,-0.0030099366922338167,2019-03-20
2019-04-01,285.8299865722656,285.9700012207031,1.0,0.003498583238211687,1.0004898529021276,0.0004898529021275522,2019-04-02
2019-04-03,286.4200134277344,287.17999267578125,1.0,0.0034913761368575123,1.0026533734111378,0.002653373411137805,2019-04-04
2019-04-05,288.57000732421875,288.7900085449219,1.0,0.00346536360196458,1.0007623842226123,0.0007623842226123223,2019-04-08
2019-04-23,292.8800048828125,292.2300109863281,1.0,0.0034143676021861622,0.997780681898225,-0.002219318101775003,2019-04-24
2019-04-30,294.0199890136719,291.8099975585937,1.0,0.0034011293019723912,0.9924835333050249,-0.007516466694975077,2019-05-01
2019-05-16,287.70001220703125,285.8399963378906,1.0,0.003475842744422242,0.9935348773367374,-0.006465122663262601,2019-05-17
2019-06-06,284.79998779296875,287.6499938964844,1.0,0.0035112361055539636,1.0100070443317133,0.010007044331713288,2019-06-07
2019-06-10,288.9700012207031,288.8999938964844,1.0,0.003460566826229973,0.9997577349762155,-0.00024226502378454917,2019-06-11
2019-06-19,293.0599975585937,295.8599853515625,1.0,0.0034122705532339415,1.009554315895362,0.009554315895361931,2019-06-20
2019-07-01,295.6600036621094,296.42999267578125,1.0,0.00338226336878097,1.0026043056353062,0.0026043056353062255,2019-07-02
2019-07-03,298.79998779296875,298.4599914550781,1.0,0.0033467203509153945,0.9988621273367447,-0.0011378726632552683,2019-07-05
2019-07-11,299.3099975585937,300.6499938964844,1.0,0.0033410177012354473,1.0044769514844836,0.004476951484483571,2019-07-12
2019-07-15,300.75,299.7799987792969,1.0,0.0033250207813798837,0.9967747257831983,-0.0032252742168017434,2019-07-16
2019-07-24,301.44000244140625,300.0,1.0,0.00331740973958617,0.995222921875851,-0.004777078124148959,2019-07-25
2019-08-08,293.6199951171875,291.6199951171875,1.0,0.0034057626068718077,0.9931884747862564,-0.006811525213743619,2019-08-09
2019-08-19,292.3299865722656,290.0899963378906,1.0,0.003420791728298439,0.9923374599347807,-0.00766254006521927,2019-08-20
2019-09-06,298.04998779296875,298.20001220703125,1.0,0.0033551418921534035,1.0005033531964669,0.0005033531964668825,2019-09-09
2019-10-11,296.2799987792969,295.95001220703125,1.0,0.0033751856491160376,0.998886234056888,-0.0011137659431119662,2019-10-14
2019-10-25,301.6000061035156,303.29998779296875,1.0,0.0033156498002748,1.0056365439491062,0.005636543949106176,2019-10-28
2019-11-08,308.94000244140625,308.3500061035156,1.0,0.003236874448428415,0.9980902559292155,-0.0019097440707844804,2019-11-11
2019-11-14,309.54998779296875,311.7900085449219,1.0,0.0032304960085115996,1.0072363780981677,0.007236378098167684,2019-11-15
2019-11-18,312.0199890136719,311.92999267578125,1.0,0.003204922874207853,0.9997115686780994,-0.00028843132190059517,2019-11-19
2019-11-26,314.0799865722656,315.4800109863281,1.0,0.003183902326644787,1.004457540989293,0.004457540989293074,2019-11-27
2019-12-06,314.8699951171875,313.8800048828125,1.0,0.003175913918466009,0.996855876235503,-0.00314412376449702,2019-12-09
2019-12-13,317.32000732421875,319.5,1.0,0.00315139284292988,1.0068700133160966,0.0068700133160966015,2019-12-16
2019-12-17,319.57000732421875,319.5899963378906,1.0,0.003129204797324591,1.0000625497174758,6.254971747576832e-05,2019-12-18
2019-12-19,320.8999938964844,320.7300109863281,1.0,0.003116235646681187,0.9994702931960444,-0.0005297068039555874,2019-12-20
2019-12-26,322.94000244140625,322.8599853515625,1.0,0.0030965504193969855,0.9997522230468855,-0.0002477769531145091,2019-12-27
2020-01-17,331.95001220703125,331.29998779296875,1.0,0.0030125017720328265,0.9980418003007722,-0.001958199699227836,2020-01-21
2020-02-05,332.8599853515625,333.9800109863281,1.0,0.0030042661900132354,1.0033648551464744,0.0033648551464744436,2020-02-06
2020-02-12,337.4200134277344,337.0599975585937,1.0,0.0029636653435027235,0.9989330334455168,-0.0010669665544832396,2020-02-13
2020-03-26,261.20001220703125,253.4199981689453,1.0,0.0038284837414455566,0.9702143427469698,-0.029785657253030173,2020-03-27
2020-04-08,274.0299987792969,278.20001220703125,1.0,0.003649235501421863,1.0152173610418942,0.015217361041894195,2020-04-09
2020-05-11,292.5,286.6700134277344,1.0,0.003418803418803419,0.9800684219751603,-0.01993157802483969,2020-05-12
2020-05-18,295.0,291.9700012207031,1.0,0.003389830508474576,0.9897288176972987,-0.010271182302701298,2020-05-19
2020-05-27,303.5299987792969,302.9700012207031,1.0,0.0032945672718403076,0.9981550503711466,-0.0018449496288533984,2020-05-28
2020-06-02,308.0799865722656,312.17999267578125,1.0,0.003245910294680671,1.0133082520196548,0.013308252019654798,2020-06-03
2020-06-16,312.9599914550781,311.6600036621094,1.0,0.0031952966107603523,0.9958461534110971,-0.004153846588902943,2020-06-17
2020-07-01,310.5199890136719,312.2300109863281,1.0,0.0032204045967423084,1.0055069626212725,0.005506962621272482,2020-07-02
2020-07-06,317.04998779296875,313.7799987792969,1.0,0.0031540767655004374,0.9896862036285359,-0.010313796371464123,2020-07-07
2020-07-21,325.010009765625,326.8599853515625,1.0,0.0030768283128299084,1.0056920572608565,0.005692057260856531,2020-07-22
2020-08-04,330.0599975585937,332.1099853515625,1.0,0.0030297521886834397,1.0062109550025216,0.0062109550025215565,2020-08-05
2020-08-06,334.3299865722656,334.57000732421875,1.0,0.002991056860476526,1.000717915716786,0.0007179157167860328,2020-08-07
2020-08-10,335.57000732421875,332.79998779296875,1.0,0.002980004106963668,0.9917453304205055,-0.0082546695794945,2020-08-11
2020-08-18,338.6400146484375,337.2300109863281,1.0,0.0029529882965489474,0.9958362756877,-0.0041637243123000545,2020-08-19
2020-08-24,342.9200134277344,344.1199951171875,1.0,0.002916131928271769,1.0034993049179557,0.0034993049179556923,2020-08-25
2020-08-26,347.57000732421875,348.3299865722656,1.0,0.0028771182177039353,1.0021865501396325,0.002186550139632537,2020-08-27
2020-08-28,350.5799865722656,349.3099975585937,1.0,0.0028524161056006784,0.9963774628834663,-0.0036225371165337084,2020-08-31
