Date,Close
2015-08-21,28.030000686645508
2015-09-09,26.229999542236328
2015-09-28,27.6299991607666
2016-01-08,27.010000228881836
2016-01-13,25.219999313354492
2016-01-15,27.020000457763672
2016-02-08,26.0
2016-06-24,25.760000228881836
2018-02-05,37.31999969482422
2018-10-24,25.229999542236328
2018-12-18,25.579999923706055
2019-01-03,25.450000762939453
2020-02-24,25.030000686645508
2020-06-08,25.809999465942383
2020-07-23,26.079999923706055
2020-07-28,25.440000534057617
2020-08-31,26.40999984741211
2020-11-09,25.75
2020-11-12,25.350000381469727
2020-12-21,25.15999984741211
2021-01-04,26.969999313354492
2021-01-27,37.209999084472656
2021-02-25,28.889999389648438
2021-03-03,26.670000076293945
2021-03-08,25.469999313354492
2021-05-12,27.59000015258789
2021-09-20,25.709999084472656
2021-11-26,28.6200008392334
2021-11-30,27.190000534057617
2022-01-20,25.59000015258789
2022-02-11,27.360000610351562
2022-02-17,28.110000610351562
2022-04-22,28.209999084472656
2022-06-06,25.06999969482422
2022-06-09,26.09000015258789
2022-07-11,26.170000076293945
2022-07-18,25.299999237060547
2022-08-26,25.559999465942383
2022-09-13,27.270000457763672
2022-11-08,25.540000915527344
2022-12-12,25.0
2023-03-13,26.520000457763672
2023-03-15,26.139999389648438
2023-03-17,25.510000228881836
2024-08-05,38.56999969482422
