VIX_Date,change30day
2015-08-21,0.35678902199037865
2015-09-09,2.287010754292584
2015-09-28,28.700780368447486
2016-01-08,-15.859976299687256
2016-01-13,-10.700059793193974
2016-01-15,5.081850382477686
2016-02-08,10.326595690633383
2016-06-24,-0.5770380481537986
2018-02-05,28.52167026695899
2018-10-24,-32.87654139852989
2018-12-18,-1.7989216741463148
2019-01-03,-8.72683745568615
2020-02-24,-28.48133255752252
2020-06-08,-3.7502902311750503
2020-07-23,22.49089627062995
2020-07-28,2.0082909301664955
2020-08-31,-9.907601464214128
2020-11-09,21.33957564125523
2020-11-12,15.23395523343816
2020-12-21,49.46687218129458
2021-01-04,10.236573814344233
2021-01-27,38.467777733552886
2021-02-25,20.789381823907807
2021-03-03,22.287652838611482
2021-03-08,2.234090351717075
2021-05-12,-24.904950718315565
2021-09-20,62.169758987235134
2021-11-26,-7.30740999924462
2021-11-30,-17.563748580627074
2022-01-20,10.052412533363878
2022-02-11,-10.403266551908052
2022-02-17,5.395011480367255
2022-04-22,-23.205283657890217
2022-06-06,-34.04612263154711
2022-06-09,-25.75865756473682
2022-07-11,23.927494712873983
2022-07-18,-0.22846020046111232
2022-08-26,-6.18529494599649
2022-09-13,-4.239818870919091
2022-11-08,8.517807769181484
2022-12-12,0.8637049396229255
2023-03-13,21.793268976534314
2023-03-15,21.685849598207785
2023-03-17,12.42116592655794
2024-08-05,3.457207619354351
