BTC_Date,BTC_Close,VIX_Date
2015-08-22,230.38999938964844,2015-08-21
2015-08-23,228.16900634765625,2015-08-21
2015-08-24,210.4949951171875,2015-08-21
2015-08-25,221.60899353027344,2015-08-21
2015-08-26,225.83099365234375,2015-08-21
2015-08-27,224.7689971923828,2015-08-21
2015-08-28,231.39599609375,2015-08-21
2015-08-29,229.77999877929688,2015-08-21
2015-08-30,228.76100158691406,2015-08-21
2015-08-31,230.05599975585938,2015-08-21
2015-09-01,228.12100219726562,2015-08-21
2015-09-02,229.28399658203125,2015-08-21
2015-09-03,227.18299865722656,2015-08-21
2015-09-04,230.29800415039062,2015-08-21
2015-09-05,235.0189971923828,2015-08-21
2015-09-06,239.83999633789062,2015-08-21
2015-09-07,239.8470001220703,2015-08-21
2015-09-08,243.60699462890625,2015-08-21
2015-09-09,238.16799926757812,2015-08-21
2015-09-10,238.4770050048828,2015-08-21
2015-09-11,240.10699462890625,2015-08-21
2015-09-12,235.22900390625,2015-08-21
2015-09-13,230.51199340820312,2015-08-21
2015-09-14,230.6439971923828,2015-08-21
2015-09-15,230.3040008544922,2015-08-21
2015-09-16,229.09100341796875,2015-08-21
2015-09-17,229.80999755859375,2015-08-21
2015-09-18,232.97500610351562,2015-08-21
2015-09-19,231.4929962158203,2015-08-21
2015-09-20,231.21200561523438,2015-08-21
2015-09-10,238.4770050048828,2015-09-09
2015-09-11,240.10699462890625,2015-09-09
2015-09-12,235.22900390625,2015-09-09
2015-09-13,230.51199340820312,2015-09-09
2015-09-14,230.6439971923828,2015-09-09
2015-09-15,230.3040008544922,2015-09-09
2015-09-16,229.09100341796875,2015-09-09
2015-09-17,229.80999755859375,2015-09-09
2015-09-18,232.97500610351562,2015-09-09
2015-09-19,231.4929962158203,2015-09-09
2015-09-20,231.21200561523438,2015-09-09
2015-09-21,227.0850067138672,2015-09-09
2015-09-22,230.6179962158203,2015-09-09
2015-09-23,230.2830047607422,2015-09-09
2015-09-24,234.5290069580078,2015-09-09
2015-09-25,235.1439971923828,2015-09-09
2015-09-26,234.33999633789062,2015-09-09
2015-09-27,232.7570037841797,2015-09-09
2015-09-28,239.14199829101562,2015-09-09
2015-09-29,236.68699645996094,2015-09-09
2015-09-30,236.05999755859375,2015-09-09
2015-10-01,237.5489959716797,2015-09-09
2015-10-02,237.29299926757812,2015-09-09
2015-10-03,238.72999572753906,2015-09-09
2015-10-04,238.25900268554688,2015-09-09
2015-10-05,240.38299560546875,2015-09-09
2015-10-06,246.06300354003906,2015-09-09
2015-10-07,242.968994140625,2015-09-09
2015-10-08,242.3040008544922,2015-09-09
2015-10-09,243.93099975585938,2015-09-09
2015-09-29,236.68699645996094,2015-09-28
2015-09-30,236.05999755859375,2015-09-28
2015-10-01,237.5489959716797,2015-09-28
2015-10-02,237.29299926757812,2015-09-28
2015-10-03,238.72999572753906,2015-09-28
2015-10-04,238.25900268554688,2015-09-28
2015-10-05,240.38299560546875,2015-09-28
2015-10-06,246.06300354003906,2015-09-28
2015-10-07,242.968994140625,2015-09-28
2015-10-08,242.3040008544922,2015-09-28
2015-10-09,243.93099975585938,2015-09-28
2015-10-10,244.9409942626953,2015-09-28
2015-10-11,247.0500030517578,2015-09-28
2015-10-12,245.30799865722656,2015-09-28
2015-10-13,249.50799560546875,2015-09-28
2015-10-14,251.98899841308594,2015-09-28
2015-10-15,254.32000732421875,2015-09-28
2015-10-16,262.8689880371094,2015-09-28
2015-10-17,270.6400146484375,2015-09-28
2015-10-18,261.64300537109375,2015-09-28
2015-10-19,263.43701171875,2015-09-28
2015-10-20,269.4630126953125,2015-09-28
2015-10-21,266.2720031738281,2015-09-28
2015-10-22,274.02301025390625,2015-09-28
2015-10-23,276.4960021972656,2015-09-28
2015-10-24,281.65399169921875,2015-09-28
2015-10-25,283.67999267578125,2015-09-28
2015-10-26,285.29998779296875,2015-09-28
2015-10-27,293.7879943847656,2015-09-28
2015-10-28,304.6180114746094,2015-09-28
2016-01-09,447.6109924316406,2016-01-08
2016-01-10,447.9909973144531,2016-01-08
2016-01-11,448.4280090332031,2016-01-08
2016-01-12,435.69000244140625,2016-01-08
2016-01-13,432.3710021972656,2016-01-08
2016-01-14,430.3059997558594,2016-01-08
2016-01-15,364.33099365234375,2016-01-08
2016-01-16,387.5360107421875,2016-01-08
2016-01-17,382.29901123046875,2016-01-08
2016-01-18,387.1679992675781,2016-01-08
2016-01-19,380.14898681640625,2016-01-08
2016-01-20,420.2300109863281,2016-01-08
2016-01-21,410.2619934082031,2016-01-08
2016-01-22,382.49200439453125,2016-01-08
2016-01-23,387.4909973144531,2016-01-08
2016-01-24,402.97100830078125,2016-01-08
2016-01-25,391.72601318359375,2016-01-08
2016-01-26,392.15301513671875,2016-01-08
2016-01-27,394.97198486328125,2016-01-08
2016-01-28,380.28900146484375,2016-01-08
2016-01-29,379.4739990234375,2016-01-08
2016-01-30,378.2550048828125,2016-01-08
2016-01-31,368.7669982910156,2016-01-08
2016-02-01,373.0559997558594,2016-01-08
2016-02-02,374.447998046875,2016-01-08
2016-02-03,369.9490051269531,2016-01-08
2016-02-04,389.593994140625,2016-01-08
2016-02-05,386.54901123046875,2016-01-08
2016-02-06,376.5220031738281,2016-01-08
2016-02-07,376.6199951171875,2016-01-08
