year,annual_return_bitcoin,annual_return_gold,risk_bitcoin_dev,risk_gold_dev
2015,1.6839519592437675,-0.09350036163141917,1.0762611341252533,0.13860382243803127
2016,1.559326442840459,0.09909932525722676,0.4964960744290337,0.15927749371701413
2017,20.99372465440726,0.13686579498743145,0.9473849014552052,0.10082095435124064
2018,-0.6230239010815708,-0.010367062324574183,0.828793482655235,0.09856938810007532
2019,1.48522872382937,0.19039770993078453,0.7107714099725608,0.1146578861896708
2020,4.463071203433644,0.27313647731207924,0.7468825670693268,0.19074197849180455
2021,1.2012293462585357,-0.027042471282981095,0.8071243963787982,0.13534332352127423
2022,-0.5608347761881487,0.009863512007128428,0.6374272817046104,0.15524776078207206
2023,1.817087022084106,0.14072966042286428,0.4428464062590889,0.1343609744708252
2024,1.6159631304277466,0.30564328056218826,0.518798899527748,0.12669522872841055
